＃,Japanese,English,French,German
3925,信号扱所,signal cabin,"cabine d’aiguillage (f), cabine d’enclenchement (f), cabine de signalisation (f), enclenchement (m), poste (m), poste d’aiguillage (m), poste d’enclenchement (m), poste de signalisation (m)","Signalstellwerk (n), Stellwerk (n), Weichenstellwerk (n)"
3926,信号位相差計,signal phase difference meter,multimetre de difference de phase d’un signal (m),Differential-Universalmesgerat der Phasenlage eines Signals (n)
3927,信号炎管,fuse,"feu avertisseur (m), pot fumigene (m)",Leuchtsignal (n)
3928,信号炎管装置,"fusee, smoke candle for emergency notification","fusee, fumigene","Signalfeuer (n), Rauchkerze fur Notfallbenachrichtigung (f)"
3929,信号監視盤,signal monitor,moniteur de signal (m),Signaluberwachung (f)
3930,信号機,"signal, signal device","panneau (m), panneau-signal (m), signal (m)","Farblichtsignal (n), Signal (n)"
3931,信号機器室,signal house,poste d’aiguillage (m),Stellwerk (n)
3932,人工軽量骨材コンクリート,artificial lightweight aggregate concrete,beton de granulats legers synthetiques (m),kunstlicher Leichtbeton (m)
3933,信号結線図,connection diagram of signal circuit,"schema de du circuit de signalisation (m), schema de cablage de signalisation (m)","Steuerstromkreis-Schaltplan (m), Steuerstromkreis-Verbindungsschema (n)"
3934,信号ケーブル,signal cable,cable de signalisation (m),Signalkabel (n)
3935,信号現示,"aspect, signal aspect","aspect d’un signal (m), indication d’un signal (f), image d’un signal (f)","Signalbegriff (m), Signalbild (n)"
3936,信号現示時素,signal aspect time delay,temps de delai de l’aspect du signal (m),"Signalbildlaufzeit (f), Signalbegrifflaufzeit (f)"
3937,信号現示方式,signal indication system,systeme d’indication de signal (m),"Signalbegriffssystem (n), Signalstellungssystem (n)"
3938,信号高圧配電線路,signal high voltage distribution,distribution haute tension de signaux (f),Hochspannungs-Signalverteilung (f)
3939,人工故障試験［保護継電器の］,artificial fault test,essai de defaut artificiel (m),kunstliche Storungsprufung (f)
3940,信号錯誤事故,accident caused by false signal,accident cause par faux signal (m),Unfall verursacht vom falschem Signal (m)
3941,人工地盤,artificial ground,"terre artificielle (f), sol artificiel (m)","kunstliche Erde (f), kunstlicher Boden (m)"
3942,信号周波数,signal frequency,frequence de signalisation (f),Signalfrequenz (f)
3943,信号周波数変換器,signal frequency converter,convertisseur de frequence de signal (m),Signalfrequenzwandler (m)
3944,信号場,signal station,poste de signalisation (m),"Signalstation (f), Signalstellwerk（n）"
3945,信号指令,signal dispatcher,regulateur des signaux (m),Signaldispatcher (m)
3946,進行信号,proceed signal,signal de progression (m),Fortfahrsignal (n)
3947,信号制御,signal control,commande des signaux (f),"Signalantrieb (m), Signalsteuerung (f)"
3948,信号装置,signal device,installation de signalisation,"Signalvorrichtung (f), Signalapparat (m)"
3949,信号速度段,speed signal pattern for ATC,modele de signal de vitesse pour le controle inductif des trains (m),Geschwindigkeitssignalmuster fur ATC (n)
3950,新交通システム,"new transport system, new transit system",nouveau systeme de transport (m),"neues Transportsystem (n), neues Transitsystem (n)"
3951,進行定位［信号機の］,automatic working of a route,position normale de progression (f),automatische Routenbearbeitung (f)
3952,信号てこ,signal lever,levier de signal (m),Signalhebel (m)
3953,信号てこ表示鎖錠,signal lever indication locking,verrou d’indication du levier de signal (m),Signalhebelanzeigeverriegelung (f)
3954,進行手信号代用器,substitute apparatus for hand signal,signal substitue manuel (m),Ersatzgerat fur Handsignal (n)
3955,信号電球,signal lamp,lanterne de signal (f),Signallampe (f)
3956,信号電球断芯検出器,signal lamp burnout detector,detecteur de grillage de lampe de signal (m),Detektor fur durchgebrannte Signallampen (m)
3957,信号電源切換リレー,signal electric source switching relay,relais de commutation de la source electrique de signal (m),Schaltrelais der elektrischen Signalquelle (n)
3958,信号電流,signal current,courant de signalisation (m),Signalstrom (m)
3959,信号灯列,positioning of signals,disposition des signaux (f),Signalpositionierung (f)
3960,人工雪崩,artificially released avalanche,avalanche declenchee artificiellement (f),kunstlich ausgeloste Lawine (f)
3961,信号波［インバーター制御の］,signal wave,onde de signaux (f),Signalwelle (f)
3962,信号付属機,signal appendix,accessoire de signal (m),Signalanhang (m)
3963,信号保安,signaling safety,securite de la signalisation (f),"signaltechnische Sicherheit (f), Sicherheit des Signalsystems (f), Signalisierung (f), Signalsystem (n), Eisenbahnsignal (n), Eisenbahnsignalisierung (f)"
3964,信号保安装置,signaling systems,systeme de signalisation (m),Signalsystem (n)
3965,信号方式,signal system,systeme de signalisation (m),Signalsystem (n)
3966,信号冒進,"SPAD（signal passed at danger), red signal violated, driving through signals",violation du signal rouge (f),"SPAD (Signal an Gefahr vorbeigefahren) (n), Rotsignal verletzt (n), Fuhren durch Signale (n)"
3967,信号ボンド,signal bond,liaison de signal (f),Signalverbindung (f)
3968,信号用電源,power supply for signal equipment,source electrique de signal (f),Stromversorgung fur Signalgerat (f)
3969,信号用トランス,transformer for signal,transformateur de signal (m),Signalumformer (m)
3970,信号用符号送受信機,signal code transmitter-receiver,emetteur- recepteur de code de signaux (m),"Signalordnungssender (m), Signalordnungsempfanger (m)"
3971,信号用変圧器,transformer for signal,transformateur de signalisation (m),Signalumformer (m)
3972,信号リレー,signal relay,relais de signalisation (m),"Signalrelais (n), Melderelais (n)"
3973,信号レンズ,signal lens,lentille de signal (f),Signallinse (f)
3974,新在直通運転,through operation between Shinkansen and ordinary line,liaison directe entre Shinkansen et ligne ordinaire (f),Durchgangsbetrieb zwischen Shinkansen und gewohnlichen Linien (m)
3975,心皿［車両の］,"center plate, center pivot",crapaudine (f),"untere Drehpfanne (f), unterer Drehzapfen (m)"
3976,心皿荷重［車両の］,center plate load,charge de crapaudine (f),Last von unterer Drehpfanne (f)
3977,心皿間距離［車両の］,distance between bogie centers,"distance entre crapaudines (f), entraxe des bogies (m)","Drehzapfenabstand (m), Abstand zwischen unteren Drehzapfen (m), Abstand zwischen unteren Drehpfannen (m)"
3978,心皿すり板［車両の］,center pivot wearing plate,plaque d’usure de pivot central (f),untere Drehzapfenlager- Verschleisplatte (f)
3979,心皿中心ピン［車両の］,"center pin, king bolt",cheville ouvriere (f),Drehpfannenbolzen (m)
3980,心皿ブシュ［車両の］,center pivot bush,douille de pivot central (f),untere Drehzapfenlager-Buchse (f)
3981,心皿ライナ［車両の］,center pivot liner,garniture de pivot central (f),unteres Drehzapfenlager- Futter (n)
3982,伸縮継目［橋梁の］,expansion joint,joint d’expansion (m),Ausdehnung und Zusammenziehung der Weiche (f)
3983,伸縮継目［レールの］,expansion joint,"appareil de dilatation (m), appareil de dilatation des rails (m), joint de dilatation (m), joint de dilatation des rails (m), joint de rail en biseau (m), joint en biseau (m)","Schienenauszugsvorrichtung (f), Schienenausziehstos (m), Dehnungsfuge (f), Dehnstos (m), Ausziehstos (m)"
3984,じん性［構造部材の］,ductility,"ductilite (f), aptitude a la deformation (f), durete (f), tenacite (f), resistance (f)",Dehnbarkeit (f)
3985,じん性率［構造部材の］,ultimate ductility factor,facteur de ductilite ultime (m),Zahigkeitsrate (f)
3986,新線計画,planning of new line,planification d’une nouvelle ligne (f),Planung einer neuen Linie (f)
3987,進相コンデンサー,shunt capacitor,"condensateur mis en parallele (m), condensateur-shunt (m)",Parallelkondensator (m)
3988,深層地盤,deep soil,sol profond (m),tiefer Boden (m)
3989,深層崩壊,deep-seated collapse,effondrement profond (m),tiefsitzender Kollaps (m)
3990,深礎杭,caisson type pile,pieu de fondation profonde (m),"Hulsenpfahl (m), Ortbetonpfahl mit verlorenem Fullrohr (m), Mantelrohrpfahl (m)"
3991,深礎工法,caisson type pile method,methode de fondation profonde (f),"Hulsenpfahlverfahren (n), Mantelrohrpfahlverfahren (n)"
3992,寝台［車両の］,"berth, bed","place couchee (f), couchette (f)","Bettplatz (m), Liegerplatz (m)"
3993,寝台車,"sleeping car, sleeper",voiture-lits (f),Schlafwagen (m)
3994,芯出し［レール溶接の］,alignment for welding,alignement pour le soudage (m),Zentrierung (f)
3995,信通指令［新幹線の］,signal and communication dispatcher,regulateur de signal et communication (m),Signal- und Kommunikationsdispatcher (m)
3996,震度,seismic intensity,intensite sismique (f),"seismische Starke (f), Erdbebenstarke (f)"
3997,振動加速度レベル,vibration acceleration level,niveau d’acceleration des vibrations (m),Schwingungsbeschleunigungspegel (m)
3998,振動規制法,Vibration regulation law,loi de reglementation de la vibration (f),Vibrationsregulierungsgesetz (n)
3999,人道橋,"footbridge, pedestrian bridge",passerelle (f),"Laufbrucke (f), Laufsteg (m)"
4000,振動遮断工,underground vibration isolator,ouvrage d’interception des vibrations (m),Vibration abgeschnittene Arbeit (f)
4001,振動遮断壁,wall-in-earth for vibration reduction,mur d’interception des vibrations (m),Mauer-in-Erde fur Schwingungssenkung (f)
4002,振動遮断溝,trench for vibration reduction,tranchee de reduction des vibrations (f),Graben fur Schwingungssenkung (m)
4003,浸透探傷試験［台車の］,penetrant testing,test de penetration (m),Penetrationsprufverfahren (n)
4004,浸透探傷試験［鋼材き裂の］,liquid penetrate test,essai de penetration de liquide (m),flussiger Penetranztest (m)
4005,浸透探傷試験［レールの］,liquid penetrate test,essai de penetration de liquide (m),Flussige-Penetrant-Prufung (f)
4006,浸透能［土壌の］,infiltration capacity,capacite d’infiltration (f),"Sattigungskapazitat (f), infiltrationkapazitat (f)"
4007,振動の人体感覚補正,human response weighting of vibration,correction f de la reponse du corps humain aux vibrations (f),menschliche Reaktionsgewichtung der Schwingung (f)
4008,振動モード,mode of vibration,mode de vibration (m),Schwingungsform (f)
4009,浸透流,seepage flow,ecoulement d’infiltration (m),"Sickerwasserstromung (f), Infiltrationstromung (f)"
4010,振動レベル,vibration level,"niveau de vibration (m), niveau vibratoire (m)",Schwingungspegel (m)
4011,振動レベル計,vibration level meter,indicateur de niveau de vibration (m),Schwingungsniveaumeter (m)
4012,振動ローラー［締固めの］,vibratory roller,cylindre vibrant (m),Schwingungswalze (f)
4013,震度階,seismic intensity scale,echelle d’intensite sismique (f),Erdbebenskala (f)
4014,震度法,seismic coefficient method,methode du coefficient sismique (f),seismische Koeffizientenmethode (f)
4015,シンドラー式,Schindler type,type Schindler (m),Bauart Schindler (f)
4016,深発地震,deep focus earthquake,seisme a foyer profond (m),Tieffokussierungserdbeben (n)
4017,振幅スペクトル,amplitude spectrum,spectre d’amplitude (m),Amplitudenspektrum (n)
4018,シンプルカテナリー,simple catenary equipment,catenaire simple,einfache Fahrleitung (f)
4019,真矢式貫入試験器［地盤の］,Shin-ya type penetration instrument,instrument de penetration de cone (m),Shin-ya-Durchdringungsprufgerat (n)
4020,信頼性,reliability,fiabilite (f),Zuverlassigkeit (f)
4021,信頼度,reliability,fiabilite (f),Zuverlassigkeit (f)
4022,人力掘削,manual excavation,"fouille manuelle (f), excavation manuelle (f)","Handaushub (m), Handausbaggerung (f), Handausschachtung (f)"
4023,人力除雪,manual snow removing work,deneigement manuel (m),manuelle Schneeraumung (f)
4024,新連続法［輪重・横圧測定における］,new continuous measuring method of wheel/rail contact force,"nouvelle methode de mesure continue du contact roue, rail depassee (f)",neue kontinuierliche Messmethode fur Radlast und Seitenkraft (f)
4025,進路,route,"itineraire (m), routage (m)","Fahrstrase (f), technisch gesicherter Fahrweg (m), Routing (n)"
4026,進路解錠,route release,liberation d’un itineraire (f),Fahrstrasenauflosung (f)
4027,進路競合,route conflict,conflit d’itineraire (m),Fahrwegkonflikt (m)
4028,進路区分鎖錠,sectional route lock,transit souple (m),Teilfahrstrasenfestlegung (f)
4029,進路限定,route restriction,restriction d’itineraire (f),Fahrwegbeschrankung (f)
4030,進路鎖錠,route lock,verrouillage d’itineraire (m),Fahrstrasenverschluss (m)
4031,進路信号方式,route signal system,"systeme de signalisation d’itineraire (m), systeme de signalisation de direction (m)",Fahrweganzeige (f)
4032,進路制御,route control,commande des itineraires (f),Fahrstraseneinstellung (f)
4033,進路制御システム,route control system,"systeme de commande des itineraires (m), commande programmee des itineraires (f)","Fahrstraseneinstellungssystem (n), programmierte Fahrstraseneinstellung (f)"
4034,進路設定,route setting,commande des itineraires (f),Fahrstraseneinstellung (f)
4035,進路選別式,route selective type,type de selection de l’itineraire (m),Auswahlart der Fahrstrase (f)
4036,進路蓄積,route storage arrangement,accumulateur d’itineraires (m),Fahrstrasenspeicher (m)
4037,進路てこ,route lever,levier d’itineraire (m),Fahrstrasenhebel (m)
4038,進路てこ式,route lever type,type de levier d’itineraire (m),Fahrstrasenhebelart (f)
4039,進路電源識別標識,route electric source indicator,indicateur de source electrique d’itineraire (m),Fahrstrasenstromversorgungsanzeiger (m)
4040,進路表示機,route indicator,"indicateur de train (m), plaque d’indication de parcours (f)",Zuglaufanzeiger (m)
